Type,Algorithm,Time,Comparisons
WITHPREFIX_700,std::sort,0.504833,7445
WITHPREFIX_700,MergeSort LCP,2.71635,99027
WITHPREFIX_700,Ternary QuickSort,0.452933,16381
WITHPREFIX_700,MSD Radix,1.68569,0
WITHPREFIX_700,MSD Sort,0.464258,16381
WITHPREFIX_700,MSD Radix + Quick,1.24023,1715
RANDOM_800,std::sort,0.581275,9108
RANDOM_800,MergeSort LCP,1.5526,15550
RANDOM_800,Ternary QuickSort,0.406217,7789
RANDOM_800,MSD Radix,0.82745,0
RANDOM_800,MSD Sort,0.350025,7789
RANDOM_800,MSD Radix + Quick,0.232517,2092
REVERSED_800,std::sort,0.127458,2421
REVERSED_800,MergeSort LCP,1.35786,9809
REVERSED_800,Ternary QuickSort,1.24252,32096
REVERSED_800,MSD Radix,0.763017,0
REVERSED_800,MSD Sort,1.24731,32096
REVERSED_800,MSD Radix + Quick,0.309058,4033
ALMOST_800,std::sort,0.1776,4244
ALMOST_800,MergeSort LCP,1.39472,11811
ALMOST_800,Ternary QuickSort,0.7849,19879
ALMOST_800,MSD Radix,0.787733,0
ALMOST_800,MSD Sort,0.792916,19879
ALMOST_800,MSD Radix + Quick,0.261883,2463
WITHPREFIX_800,std::sort,0.580375,8617
WITHPREFIX_800,MergeSort LCP,3.24682,116245
WITHPREFIX_800,Ternary QuickSort,0.523775,18753
WITHPREFIX_800,MSD Radix,1.90987,0
WITHPREFIX_800,MSD Sort,0.528125,18753
WITHPREFIX_800,MSD Radix + Quick,1.42804,2065
RANDOM_900,std::sort,0.646075,9950
RANDOM_900,MergeSort LCP,1.82602,17864
RANDOM_900,Ternary QuickSort,0.455608,9641
RANDOM_900,MSD Radix,0.8848,0
RANDOM_900,MSD Sort,0.455959,9641
RANDOM_900,MSD Radix + Quick,0.285284,2530
REVERSED_900,std::sort,0.146242,2721
REVERSED_900,MergeSort LCP,1.49721,11114
REVERSED_900,Ternary QuickSort,1.44357,36654
REVERSED_900,MSD Radix,0.870733,0
REVERSED_900,MSD Sort,1.39294,36654
REVERSED_900,MSD Radix + Quick,0.403625,5036
ALMOST_900,std::sort,0.235075,5315
ALMOST_900,MergeSort LCP,1.59293,13743
ALMOST_900,Ternary QuickSort,0.775967,19034
ALMOST_900,MSD Radix,0.852992,0
ALMOST_900,MSD Sort,0.782433,19034
ALMOST_900,MSD Radix + Quick,0.296042,2994
WITHPREFIX_900,std::sort,0.696517,10191
WITHPREFIX_900,MergeSort LCP,3.65311,133470
WITHPREFIX_900,Ternary QuickSort,0.606558,21576
WITHPREFIX_900,MSD Radix,2.18715,0
WITHPREFIX_900,MSD Sort,0.610408,21576
WITHPREFIX_900,MSD Radix + Quick,1.61453,2555
RANDOM_1000,std::sort,0.735792,11246
RANDOM_1000,MergeSort LCP,2.03274,20274
RANDOM_1000,Ternary QuickSort,0.485858,10248
RANDOM_1000,MSD Radix,0.953158,0
RANDOM_1000,MSD Sort,0.467442,10248
RANDOM_1000,MSD Radix + Quick,0.303675,2934
REVERSED_1000,std::sort,0.134117,3021
REVERSED_1000,MergeSort LCP,1.66041,12276
REVERSED_1000,Ternary QuickSort,1.59119,41087
REVERSED_1000,MSD Radix,0.9386,0
REVERSED_1000,MSD Sort,1.60047,41087
REVERSED_1000,MSD Radix + Quick,0.446017,6257
ALMOST_1000,std::sort,0.238716,5654
ALMOST_1000,MergeSort LCP,1.90789,16060
ALMOST_1000,Ternary QuickSort,1.17694,28024
ALMOST_1000,MSD Radix,0.9501,0
ALMOST_1000,MSD Sort,1.11751,28024
ALMOST_1000,MSD Radix + Quick,0.348475,3593
WITHPREFIX_1000,std::sort,0.734542,11256
WITHPREFIX_1000,MergeSort LCP,4.20016,151096
WITHPREFIX_1000,Ternary QuickSort,0.725959,24832
WITHPREFIX_1000,MSD Radix,2.39711,0
WITHPREFIX_1000,MSD Sort,0.722708,24832
WITHPREFIX_1000,MSD Radix + Quick,1.78617,2870
RANDOM_1100,std::sort,0.799408,12533
RANDOM_1100,MergeSort LCP,2.25107,22814
RANDOM_1100,Ternary QuickSort,0.522241,11341
RANDOM_1100,MSD Radix,1.00997,0
RANDOM_1100,MSD Sort,0.518417,11341
RANDOM_1100,MSD Radix + Quick,0.364967,3361
REVERSED_1100,std::sort,0.154725,3321
REVERSED_1100,MergeSort LCP,1.87248,13992
REVERSED_1100,Ternary QuickSort,1.75405,45457
REVERSED_1100,MSD Radix,1.00462,0
REVERSED_1100,MSD Sort,1.75442,45457
REVERSED_1100,MSD Radix + Quick,0.505125,7537
ALMOST_1100,std::sort,0.253092,5962
ALMOST_1100,MergeSort LCP,2.00886,16934
ALMOST_1100,Ternary QuickSort,0.97465,23263
ALMOST_1100,MSD Radix,1.02297,0
ALMOST_1100,MSD Sort,0.972392,23263
ALMOST_1100,MSD Radix + Quick,0.381233,4192
WITHPREFIX_1100,std::sort,0.848017,12564
WITHPREFIX_1100,MergeSort LCP,4.68955,168383
WITHPREFIX_1100,Ternary QuickSort,0.80485,27324
WITHPREFIX_1100,MSD Radix,2.67767,0
WITHPREFIX_1100,MSD Sort,0.792233,27324
WITHPREFIX_1100,MSD Radix + Quick,1.96554,3405
RANDOM_1200,std::sort,0.910033,14481
RANDOM_1200,MergeSort LCP,2.49484,25341
RANDOM_1200,Ternary QuickSort,0.570609,12174
RANDOM_1200,MSD Radix,1.10406,0
RANDOM_1200,MSD Sort,0.5575,12174
RANDOM_1200,MSD Radix + Quick,0.43165,3836
REVERSED_1200,std::sort,0.172825,3621
REVERSED_1200,MergeSort LCP,2.13359,15850
REVERSED_1200,Ternary QuickSort,1.92121,50397
REVERSED_1200,MSD Radix,1.14178,0
REVERSED_1200,MSD Sort,1.99003,50397
REVERSED_1200,MSD Radix + Quick,0.625108,8862
ALMOST_1200,std::sort,0.3044,6754
ALMOST_1200,MergeSort LCP,2.39094,18734
ALMOST_1200,Ternary QuickSort,1.26086,29761
ALMOST_1200,MSD Radix,1.18946,0
ALMOST_1200,MSD Sort,1.35452,29761
ALMOST_1200,MSD Radix + Quick,0.5748,4840
WITHPREFIX_1200,std::sort,1.05333,14011
WITHPREFIX_1200,MergeSort LCP,5.61777,186883
WITHPREFIX_1200,Ternary QuickSort,0.893833,30786
WITHPREFIX_1200,MSD Radix,3.00889,0
WITHPREFIX_1200,MSD Sort,0.920116,30786
WITHPREFIX_1200,MSD Radix + Quick,2.23444,3790
RANDOM_1300,std::sort,1.00028,15214
RANDOM_1300,MergeSort LCP,2.8896,27975
RANDOM_1300,Ternary QuickSort,0.660375,13710
RANDOM_1300,MSD Radix,1.28478,0
RANDOM_1300,MSD Sort,0.642517,13710
RANDOM_1300,MSD Radix + Quick,0.441092,4358
REVERSED_1300,std::sort,0.185967,3921
REVERSED_1300,MergeSort LCP,2.26485,17482
REVERSED_1300,Ternary QuickSort,2.13616,55108
REVERSED_1300,MSD Radix,1.2202,0
REVERSED_1300,MSD Sort,2.13281,55108
REVERSED_1300,MSD Radix + Quick,0.652575,10298
ALMOST_1300,std::sort,0.3375,7638
ALMOST_1300,MergeSort LCP,2.36114,19320
ALMOST_1300,Ternary QuickSort,1.50164,38349
ALMOST_1300,MSD Radix,1.19413,0
ALMOST_1300,MSD Sort,1.51418,38349
ALMOST_1300,MSD Radix + Quick,0.465766,5522
WITHPREFIX_1300,std::sort,1.03228,15419
WITHPREFIX_1300,MergeSort LCP,5.51437,204840
WITHPREFIX_1300,Ternary QuickSort,0.918567,32178
WITHPREFIX_1300,MSD Radix,3.12577,0
WITHPREFIX_1300,MSD Sort,0.9107,32178
WITHPREFIX_1300,MSD Radix + Quick,2.28826,4473
RANDOM_1400,std::sort,1.17485,17045
RANDOM_1400,MergeSort LCP,3.10668,30485
RANDOM_1400,Ternary QuickSort,0.712567,15395
RANDOM_1400,MSD Radix,1.33611,0
RANDOM_1400,MSD Sort,0.719792,15395
RANDOM_1400,MSD Radix + Quick,0.519517,4864
REVERSED_1400,std::sort,0.19495,4221
REVERSED_1400,MergeSort LCP,2.48254,19154
REVERSED_1400,Ternary QuickSort,2.27716,59615
REVERSED_1400,MSD Radix,1.32143,0
REVERSED_1400,MSD Sort,2.2639,59615
REVERSED_1400,MSD Radix + Quick,0.724675,11846
ALMOST_1400,std::sort,0.346417,8107
ALMOST_1400,MergeSort LCP,2.52902,20897
ALMOST_1400,Ternary QuickSort,1.74711,44268
ALMOST_1400,MSD Radix,1.31682,0
ALMOST_1400,MSD Sort,1.71253,44268
ALMOST_1400,MSD Radix + Quick,0.509475,6199
WITHPREFIX_1400,std::sort,1.1086,16905
WITHPREFIX_1400,MergeSort LCP,6.10356,223190
WITHPREFIX_1400,Ternary QuickSort,1.02743,35868
WITHPREFIX_1400,MSD Radix,3.28254,0
WITHPREFIX_1400,MSD Sort,1.13594,35868
WITHPREFIX_1400,MSD Radix + Quick,2.65605,4804
RANDOM_1500,std::sort,1.26609,18535
RANDOM_1500,MergeSort LCP,3.51677,33043
RANDOM_1500,Ternary QuickSort,0.746292,15887
RANDOM_1500,MSD Radix,1.48425,0
RANDOM_1500,MSD Sort,0.745409,15887
RANDOM_1500,MSD Radix + Quick,0.515892,5337
REVERSED_1500,std::sort,0.215959,4521
REVERSED_1500,MergeSort LCP,2.73782,20625
REVERSED_1500,Ternary QuickSort,2.64911,64918
REVERSED_1500,MSD Radix,1.44732,0
REVERSED_1500,MSD Sort,2.79169,64918
REVERSED_1500,MSD Radix + Quick,0.883617,13570
ALMOST_1500,std::sort,0.401675,8698
ALMOST_1500,MergeSort LCP,2.8814,22587
ALMOST_1500,Ternary QuickSort,1.91507,47584
ALMOST_1500,MSD Radix,1.41582,0
ALMOST_1500,MSD Sort,1.88243,47584
ALMOST_1500,MSD Radix + Quick,0.565708,6865
WITHPREFIX_1500,std::sort,1.23315,18561
WITHPREFIX_1500,MergeSort LCP,6.57235,241912
WITHPREFIX_1500,Ternary QuickSort,1.11659,37551
WITHPREFIX_1500,MSD Radix,3.68138,0
WITHPREFIX_1500,MSD Sort,1.0933,37551
WITHPREFIX_1500,MSD Radix + Quick,2.62532,5224
RANDOM_1600,std::sort,1.25782,19218
RANDOM_1600,MergeSort LCP,3.45928,35821
RANDOM_1600,Ternary QuickSort,0.767892,16586
RANDOM_1600,MSD Radix,1.50248,0
RANDOM_1600,MSD Sort,0.767358,16586
RANDOM_1600,MSD Radix + Quick,0.541342,5792
REVERSED_1600,std::sort,0.220842,4821
REVERSED_1600,MergeSort LCP,2.87243,22167
REVERSED_1600,Ternary QuickSort,2.80237,69837
REVERSED_1600,MSD Radix,3.63067,0
REVERSED_1600,MSD Sort,3.94977,69837
REVERSED_1600,MSD Radix + Quick,0.991934,15230
ALMOST_1600,std::sort,0.427267,9168
ALMOST_1600,MergeSort LCP,3.13367,25406
ALMOST_1600,Ternary QuickSort,2.40788,52294
ALMOST_1600,MSD Radix,1.63136,0
ALMOST_1600,MSD Sort,2.2605,52294
ALMOST_1600,MSD Radix + Quick,0.656317,7587
WITHPREFIX_1600,std::sort,1.34988,19591
WITHPREFIX_1600,MergeSort LCP,7.74317,261604
WITHPREFIX_1600,Ternary QuickSort,1.28527,40212
WITHPREFIX_1600,MSD Radix,4.16105,0
WITHPREFIX_1600,MSD Sort,1.19717,40212
WITHPREFIX_1600,MSD Radix + Quick,2.94373,5922
RANDOM_1700,std::sort,1.44215,20865
RANDOM_1700,MergeSort LCP,4.12909,38492
RANDOM_1700,Ternary QuickSort,0.8764,18316
RANDOM_1700,MSD Radix,1.72376,0
RANDOM_1700,MSD Sort,0.919283,18316
RANDOM_1700,MSD Radix + Quick,0.690067,6392
REVERSED_1700,std::sort,0.249008,5121
REVERSED_1700,MergeSort LCP,3.21198,23799
REVERSED_1700,Ternary QuickSort,3.0602,74160
REVERSED_1700,MSD Radix,1.74303,0
REVERSED_1700,MSD Sort,3.14114,74160
REVERSED_1700,MSD Radix + Quick,1.02427,17078
ALMOST_1700,std::sort,0.433483,9693
ALMOST_1700,MergeSort LCP,3.31011,28197
ALMOST_1700,Ternary QuickSort,2.35502,56258
ALMOST_1700,MSD Radix,1.7969,0
ALMOST_1700,MSD Sort,2.38107,56258
ALMOST_1700,MSD Radix + Quick,0.782908,8479
WITHPREFIX_1700,std::sort,1.44831,20741
WITHPREFIX_1700,MergeSort LCP,8.09138,279673
WITHPREFIX_1700,Ternary QuickSort,1.31515,43396
WITHPREFIX_1700,MSD Radix,4.53352,0
WITHPREFIX_1700,MSD Sort,1.31037,43396
WITHPREFIX_1700,MSD Radix + Quick,3.21315,6353
RANDOM_1800,std::sort,1.50172,22285
RANDOM_1800,MergeSort LCP,4.17498,41060
RANDOM_1800,Ternary QuickSort,0.935483,19229
RANDOM_1800,MSD Radix,1.7814,0
RANDOM_1800,MSD Sort,0.881733,19229
RANDOM_1800,MSD Radix + Quick,0.6391,6978
REVERSED_1800,std::sort,0.256275,5421
REVERSED_1800,MergeSort LCP,3.26063,25145
REVERSED_1800,Ternary QuickSort,3.05498,79418
REVERSED_1800,MSD Radix,1.73418,0
REVERSED_1800,MSD Sort,3.07927,79418
REVERSED_1800,MSD Radix + Quick,1.08952,19049
ALMOST_1800,std::sort,0.489975,10217
